5218759	way	348480563	outer		
5218759	way	350069989	inner		
5218759				building	yes
5218759				type	multipolygon
5218840	way	349765813	outer		
5218840	way	350076723	inner		
5218840				building	yes
5218840				type	multipolygon
5218841	way	348480837	outer		
5218841	way	350076724	inner		
5218841				building	yes
5218841				type	multipolygon
5218842	way	350076699	outer		
5218842	way	350076728	inner		
5218842	way	350076717	inner		
5218842				building	yes
5218842				type	multipolygon
5218843	way	349766085	outer		
5218843	way	350076747	inner		
5218843	way	350076733	inner		
5218843	way	350076720	inner		
5218843	way	350076719	inner		
5218843				building	yes
5218843				type	multipolygon
3565127	node	2709534496			
3565127				route	bicycle
3565127				type	route
1572060	way	111695182	outer		
1572060	way	111695184	inner		
1572060				type	multipolygon
5229069	way	349777230	outer		
5229069	way	350505630	inner		
5229069				building	yes
5229069				type	multipolygon
5229070	way	350505594	outer		
5229070	way	350505603	inner		
5229070	way	350505628	inner		
5229070				building	yes
5229070				type	multipolygon
5229071	way	350505592	outer		
5229071	way	350505634	inner		
5229071	way	350505623	inner		
5229071				building	yes
5229071				type	multipolygon
5229072	way	350505587	outer		
5229072	way	350505608	inner		
5229072	way	350505611	inner		
5229072				building	yes
5229072				type	multipolygon
5229073	way	350505586	outer		
5229073	way	350505615	inner		
5229073	way	350505607	inner		
5229073				building	yes
5229073				type	multipolygon
5229074	way	350505590	outer		
5229074	way	350505632	inner		
5229074	way	350505621	inner		
5229074				building	yes
5229074				type	multipolygon
5229075	way	350505593	outer		
5229075	way	350505602	inner		
5229075	way	350505627	inner		
5229075				building	yes
5229075				type	multipolygon
5229076	way	350505597	outer		
5229076	way	350505616	inner		
5229076	way	350505610	inner		
5229076				building	yes
5229076				type	multipolygon
5229077	way	350505595	outer		
5229077	way	350505612	inner		
5229077	way	350505606	inner		
5229077				building	yes
5229077				type	multipolygon
5229078	way	350505601	outer		
5229078	way	350505588	outer		
5229078	way	350505617	inner		
5229078	way	350505625	inner		
5229078				building	yes
5229078				type	multipolygon
5229079	way	350505591	outer		
5229079	way	350505589	outer		
5229079	way	350505633	inner		
5229079	way	350505613	inner		
5229079	way	350505631	inner		
5229079	way	350505619	inner		
5229079				building	yes
5229079				type	multipolygon
5250710	way	351847089	outer		
5250710	way	351847090	inner		
5250710				building	yes
5250710				type	multipolygon
5249903	way	351619525	outer		
5249903	way	351623876	inner		
5249903				building	yes
5249903				type	multipolygon
2090251	way	155786329	inner		
2090251	way	155786330	inner		
2090251	way	155786327	inner		
2090251	way	155786328	inner		
2090251	way	155786325	inner		
2090251	way	155786307	inner		
2090251	way	155786326	inner		
2090251	way	155786306	inner		
2090251	way	155786308	inner		
2090251	way	155786309	inner		
2090251	way	155781156	inner		
2090251	way	155781157	inner		
2090251	way	80678169	inner		
2090251	way	155781153	inner		
2090251	way	155781155	inner		
2090251	way	155781154	inner		
2090251	way	260236662	outer		
2090251	way	294237328	outer		
2090251				admin_level	10
2090251				boundary	administrative
2090251				landuse	forest
2090251				name	Delhi Ridge
2090251				type	boundary
5247723	way	351623865	outer		
5247723	way	351623864	inner		
5247723				building	yes
5247723				type	multipolygon
5247725	way	351418815	outer		
5247725				type	multipolygon
5247753	way	351627897	outer		
5247753	way	351627899	inner		
5247753				building	yes
5247753				type	multipolygon
5256667	way	352238041	outer		
5256667	way	352238051	inner		
5256667				building	yes
5256667				type	multipolygon
5256668	way	352238049	outer		
5256668	way	352238045	inner		
5256668				building	yes
5256668				type	multipolygon
5256669	way	352238035	outer		
5256669	way	352238047	inner		
5256669				building	yes
5256669				type	multipolygon
5256670	way	352238038	outer		
5256670	way	352238043	inner		
5256670				building	yes
5256670				type	multipolygon
5259532	way	352432500	outer		
5259532	way	352432508	inner		
5259532				building	yes
5259532				type	multipolygon
5259533	way	352432509	outer		
5259533	way	352432504	inner		
5259533	way	352432506	inner		
5259533				building	yes
5259533				type	multipolygon
5263010	way	352304575	outer		
5263010	way	352744402	inner		
5263010				building	yes
5263010				type	multipolygon
5259712	way	352447732	outer		
5259712	way	352447735	inner		
5259712				building	yes
5259712				type	multipolygon
5259713	way	352447725	outer		
5259713	way	352447729	inner		
5259713				building	yes
5259713				type	multipolygon
5259714	way	351551932	outer		
5259714	way	352447733	inner		
5259714	way	352447730	inner		
5259714	way	352447738	inner		
5259714	way	352447740	inner		
5259714	way	352447727	inner		
5259714				building	yes
5259714				type	multipolygon
2765996	way	205875688			
2765996	way	205875691			
2765996	way	77366962			
2765996	way	77366980			
2765996	way	77366985			
2765996	way	77366957			
2765996	way	77011113			
2765996	way	77011075			
2765996	way	77011156			
2765996	way	77011154			
2765996	way	76733628			
2765996	way	76733630			
2765996	way	76849547			
2765996	way	76849176			
2765996	way	76727341			
2765996	way	76727560			
2765996	way	74121925			
2765996	way	74121926			
2765996	way	45098304			
2765996	way	45098307			
2765996	way	76568890			
2765996	way	205875689			
2765996	way	45098248			
2765996	way	45098265			
2765996	way	45098207			
2765996	way	45098257			
2765996	way	63622997			
2765996	way	24514282			
2765996	way	164461752			
2765996	way	111558308			
2765996	way	99610978			
2765996	way	111558269			
2765996	way	196766848			
2765996	way	247421202			
2765996	way	247421204			
2765996	way	174037454			
2765996	way	247384449			
2765996	way	247384452			
2765996	way	44376108			
2765996	way	44376109			
2765996	way	44376140			
2765996	way	44376139			
2765996	way	44376243			
2765996	way	44376236			
2765996	way	44376257			
2765996	way	44376260			
2765996	way	44376261			
2765996	way	44376264			
2765996	way	44376462			
2765996	way	44376455			
2765996	way	313316115			
2765996	way	313316109			
2765996	way	205875690			
2765996	way	359786306			
2765996	way	359786308			
2765996	way	359786307			
